,movieid,Cluster,title
2045,2302,86,My Cousin Vinny (1992)
2046,2303,60,Nashville (1975)
2047,2304,58,Love Is the Devil (1998)
2048,2305,172,Slam (1998)
2049,2306,172,Holy Man (1998)
2050,2307,3,One Tough Cop (1998)
2051,2310,86,"Mighty, The (1998)"
2052,2311,32,2010: The Year We Make Contact (1984)
2053,2312,2,Children of a Lesser God (1986)
2054,2313,145,"Elephant Man, The (1980)"
2055,2314,162,Beloved (1998)
2056,2315,58,Bride of Chucky (Child's Play 4) (1998)
2057,2316,67,Practical Magic (1998)
2058,2317,24,"Alarmist, The (a.k.a. Life During Wartime) (1997)"
2059,2318,68,Happiness (1998)
2060,2320,99,Apt Pupil (1998)
2061,2321,157,Pleasantville (1998)
2062,2322,76,Soldier (1998)
2063,2323,74,"Cruise, The (1998)"
2064,2324,34,Life Is Beautiful (La Vita è bella) (1997)
2065,2325,160,Orgazmo (1997)
2066,2326,19,Shattered Image (1998)
2067,2327,104,Tales from the Darkside: The Movie (1990)
2068,2328,0,Vampires (1998)
2069,2329,183,American History X (1998)
2070,2330,24,Hands on a Hard Body (1996)
2071,2331,0,Living Out Loud (1998)
2072,2332,11,Belly (1998)
2073,2333,173,Gods and Monsters (1998)
2074,2334,104,"Siege, The (1998)"
2075,2335,1,"Waterboy, The (1998)"
2076,2336,176,Elizabeth (1998)
2077,2337,32,Velvet Goldmine (1998)
2078,2338,133,I Still Know What You Did Last Summer (1998)
2079,2339,165,I'll Be Home For Christmas (1998)
2080,2340,0,Meet Joe Black (1998)
2081,2341,24,Dancing at Lughnasa (1998)
2082,2342,54,Hard Core Logo (1996)
2083,2344,139,Runaway Train (1985)
2084,2345,32,Desert Bloom (1986)
2085,2346,105,"Stepford Wives, The (1975)"
2086,2347,96,"Pope of Greenwich Village, The (1984)"
2087,2348,73,Sid and Nancy (1986)
2088,2349,143,Mona Lisa (1986)
2089,2350,71,Heart Condition (1990)
2090,2351,87,"Nights of Cabiria (Notti di Cabiria, Le) (1957)"
2091,2352,9,"Big Chill, The (1983)"
2092,2353,104,Enemy of the State (1998)
2093,2354,81,"Rugrats Movie, The (1998)"
2094,2355,135,"Bug's Life, A (1998)"
2095,2356,135,Celebrity (1998)
2096,2357,135,Central Station (Central do Brasil) (1998)
2097,2358,147,Savior (1998)
2098,2359,65,Waking Ned Devine (a.k.a. Waking Ned) (1998)
2099,2360,176,"Celebration, The (Festen) (1998)"
2100,2361,77,Pink Flamingos (1972)
2101,2362,77,Glen or Glenda (1953)
2102,2363,42,Godzilla (Gojira) (1954)
2103,2364,81,"Godzilla 1985: The Legend Is Reborn (Gojira) (Godzilla) (Return of Godzilla, The) (1984)"
2104,2365,104,King Kong vs. Godzilla (Kingukongu tai Gojira) (1962)
2105,2366,142,King Kong (1933)
2106,2367,135,King Kong (1976)
2107,2368,81,King Kong Lives (1986)
2108,2369,81,Desperately Seeking Susan (1985)
2109,2370,42,"Emerald Forest, The (1985)"
2110,2371,42,Fletch (1985)
2111,2372,42,Fletch Lives (1989)
2112,2373,33,Red Sonja (1985)
2113,2374,81,Gung Ho (1986)
2114,2375,155,"Money Pit, The (1986)"
2115,2376,189,"View to a Kill, A (1985)"
2116,2377,117,Lifeforce (1985)
2117,2378,37,Police Academy (1984)
2118,2379,117,Police Academy 2: Their First Assignment (1985)
2119,2380,37,Police Academy 3: Back in Training (1986)
2120,2381,117,Police Academy 4: Citizens on Patrol (1987)
2121,2382,37,Police Academy 5: Assignment: Miami Beach (1988)
2122,2383,37,Police Academy 6: City Under Siege (1989)
2123,2384,37,Babe: Pig in the City (1998)
2124,2385,104,Home Fries (1998)
2125,2386,199,Jerry Springer: Ringmaster (1998)
2126,2387,35,Very Bad Things (1998)
2127,2388,22,Steam: The Turkish Bath (Hamam) (1997)
2128,2389,37,Psycho (1998)
2129,2390,87,Little Voice (1998)
2130,2391,130,"Simple Plan, A (1998)"
2131,2392,51,Jack Frost (1998)
2132,2393,80,Star Trek: Insurrection (1998)
2133,2394,28,"Prince of Egypt, The (1998)"
2134,2395,76,Rushmore (1998)
2135,2396,76,Shakespeare in Love (1998)
2136,2397,155,Mass Appeal (1984)
2137,2398,113,Miracle on 34th Street (1947)
2138,2399,98,Santa Claus: The Movie (1985)
2139,2400,3,Prancer (1989)
2140,2401,38,Pale Rider (1985)
2141,2402,7,Rambo: First Blood Part II (1985)
2142,2403,162,First Blood (Rambo: First Blood) (1982)
2143,2404,96,Rambo III (1988)
2144,2405,94,"Jewel of the Nile, The (1985)"
2145,2406,139,Romancing the Stone (1984)
2146,2407,38,Cocoon (1985)
2147,2408,28,Cocoon: The Return (1988)
2148,2409,36,Rocky II (1979)
2149,2410,53,Rocky III (1982)
2150,2411,115,Rocky IV (1985)
2151,2412,5,Rocky V (1990)
2152,2413,104,Clue (1985)
2153,2414,115,Young Sherlock Holmes (1985)
2154,2415,12,Violets Are Blue... (1986)
2155,2416,53,Back to School (1986)
2156,2417,16,Heartburn (1986)
2157,2418,5,Nothing in Common (1986)
2158,2419,196,Extremities (1986)
2159,2420,69,"Karate Kid, The (1984)"
2160,2421,5,"Karate Kid, Part II, The (1986)"
2161,2422,8,"Karate Kid, Part III, The (1989)"
2162,2423,194,Christmas Vacation (National Lampoon's Christmas Vacation) (1989)
2163,2424,2,You've Got Mail (1998)
2164,2425,16,"General, The (1998)"
2165,2426,12,"Theory of Flight, The (1998)"
2166,2427,111,"Thin Red Line, The (1998)"
2167,2428,76,"Faculty, The (1998)"
2168,2429,65,Mighty Joe Young (1998)
2169,2430,131,Mighty Joe Young (1949)
2170,2431,98,Patch Adams (1998)
2171,2432,33,Stepmom (1998)
2172,2433,8,"Civil Action, A (1998)"
2173,2434,105,Down in the Delta (1998)
2174,2435,89,Hurlyburly (1998)
2175,2436,54,Tea with Mussolini (1999)
2176,2437,86,Wilde (1997)
2177,2439,44,Affliction (1997)
2178,2440,30,Another Day in Paradise (1998)
2179,2441,167,"Hi-Lo Country, The (1998)"
2180,2442,63,Hilary and Jackie (1998)
2181,2443,164,Playing by Heart (1998)
2182,2444,180,24 7: Twenty Four Seven (1997)
2183,2445,145,At First Sight (1999)
2184,2446,153,In Dreams (1999)
2185,2447,142,Varsity Blues (1999)
2186,2448,133,Virus (1999)
2187,2449,2,"Garbage Pail Kids Movie, The (1987)"
2188,2450,78,Howard the Duck (1986)
2189,2451,2,"Gate, The (1987)"
2190,2452,52,"Gate II: Trespassers, The (1990)"
2191,2453,81,"Boy Who Could Fly, The (1986)"
2192,2454,192,"Fly, The (1958)"
2193,2455,87,"Fly, The (1986)"
2194,2456,59,"Fly II, The (1989)"
2195,2457,184,Running Scared (1986)
2196,2458,35,Armed and Dangerous (1986)
2197,2459,104,"Texas Chainsaw Massacre, The (1974)"
2198,2460,104,"Texas Chainsaw Massacre 2, The (1986)"
2199,2461,77,Leatherface: Texas Chainsaw Massacre III (1990)
2200,2462,185,Texas Chainsaw Massacre: The Next Generation (a.k.a. The Return of the Texas Chainsaw Massacre) (1994)
2201,2463,2,Ruthless People (1986)
2202,2464,165,Trick or Treat (1986)
2203,2465,58,Deadly Friend (1986)
2204,2466,162,Belizaire the Cajun (1986)
2205,2467,33,"Name of the Rose, The (Name der Rose, Der) (1986)"
2206,2468,21,Jumpin' Jack Flash (1986)
2207,2469,78,Peggy Sue Got Married (1986)
2208,2470,156,Crocodile Dundee (1986)
2209,2471,3,Crocodile Dundee II (1988)
2210,2472,54,Tough Guys (1986)
2211,2473,147,Soul Man (1986)
2212,2474,39,"Color of Money, The (1986)"
2213,2475,141,52 Pick-Up (1986)
2214,2476,146,Heartbreak Ridge (1986)
2215,2477,6,Firewalker (1986)
2216,2478,147,¡Three Amigos! (1986)
2217,2479,2,Gloria (1999)
2218,2481,20,My Name Is Joe (1998)
2219,2482,177,Still Crazy (1998)
2220,2483,54,"Day of the Beast, The (Día de la Bestia, El) (1995)"
2221,2485,58,She's All That (1999)
2222,2486,5,"24 Hour Woman, The (1998)"
2223,2487,105,"Blood, Guts, Bullets and Octane (1998)"
2224,2488,130,Peeping Tom (1960)
2225,2490,21,Payback (1999)
2226,2491,168,Simply Irresistible (1999)
2227,2492,94,20 Dates (1998)
2228,2493,104,"Harmonists, The (1997)"
2229,2494,104,"Last Days, The (1998)"
2230,2495,42,"Fantastic Planet, The (Planète sauvage, La) (1973)"
2231,2496,42,Blast from the Past (1999)
2232,2497,42,Message in a Bottle (1999)
2233,2498,42,My Favorite Martian (1999)
2234,2499,14,God Said 'Ha!' (1998)
2235,2500,104,Jawbreaker (1999)
2236,2501,126,October Sky (1999)
2237,2502,49,Office Space (1999)
2238,2503,49,"Apple, The (Sib) (1998)"
2239,2504,115,200 Cigarettes (1999)
2240,2505,98,8MM (1999)
2241,2506,33,"Other Sister, The (1999)"
2242,2507,157,Breakfast of Champions (1999)
2243,2509,58,Eight Days a Week (1997)
2244,2510,149,Just the Ticket (1999)
2245,2511,8,"Long Goodbye, The (1973)"
2246,2512,153,"Ballad of Narayama, The (Narayama bushiko) (1983)"
2247,2513,119,Pet Sematary (1989)
2248,2514,100,Pet Sematary II (1992)
2249,2515,29,Children of the Corn II: The Final Sacrifice (1993)
2250,2516,162,Children of the Corn III (1994)
2251,2517,126,Christine (1983)
2252,2518,58,Night Shift (1982)
2253,2519,153,House on Haunted Hill (1959)
2254,2520,77,Airport (1970)
2255,2521,78,Airport 1975 (1974)
2256,2522,157,Airport '77 (1977)
2257,2523,129,Rollercoaster (1977)
2258,2524,32,"Towering Inferno, The (1974)"
2259,2525,28,Alligator (1980)
2260,2526,135,Meteor (1979)
2261,2527,46,Westworld (1973)
2262,2528,77,Logan's Run (1976)
2263,2529,77,Planet of the Apes (1968)
2264,2530,77,Beneath the Planet of the Apes (1970)
2265,2531,188,Battle for the Planet of the Apes (1973)
2266,2532,184,Conquest of the Planet of the Apes (1972)
2267,2533,176,Escape from the Planet of the Apes (1971)
2268,2534,111,Avalanche (1978)
2269,2535,175,Earthquake (1974)
2270,2536,61,"Concorde: Airport '79, The (1979)"
2271,2537,37,Beyond the Poseidon Adventure (1979)
2272,2539,54,Analyze This (1999)
2273,2540,53,"Corruptor, The (1999)"
2274,2541,27,Cruel Intentions (1999)
2275,2542,57,"Lock, Stock & Two Smoking Barrels (1998)"
2276,2543,86,Six Ways to Sunday (1997)
2277,2544,77,"School of Flesh, The (École de la chair, L') (1998)"
2278,2545,165,Relax... It's Just Sex (1998)
2279,2546,105,"Deep End of the Ocean, The (1999)"
2280,2548,194,"Rage: Carrie 2, The (1999)"
2281,2549,69,Wing Commander (1999)
2282,2550,29,"Haunting, The (1963)"
2283,2551,95,Dead Ringers (1988)
2284,2552,74,My Boyfriend's Back (1993)
2285,2553,76,Village of the Damned (1960)
2286,2554,114,Children of the Damned (1963)
2287,2555,23,Baby Geniuses (1999)
2288,2557,111,I Stand Alone (Seul contre tous) (1998)
2289,2558,113,Forces of Nature (1999)
2290,2559,67,"King and I, The (1999)"
2291,2560,128,Ravenous (1999)
2292,2561,62,True Crime (1999)
2293,2562,135,Bandits (1997)
2294,2563,49,Dangerous Beauty (1998)
2295,2565,41,"King and I, The (1956)"
2296,2566,118,Doug's 1st Movie (1999)
2297,2567,43,EDtv (1999)
2298,2568,58,"Mod Squad, The (1999)"
2299,2569,27,Among Giants (1998)
2300,2570,109,"Walk on the Moon, A (1999)"
2301,2571,193,"Matrix, The (1999)"
2302,2572,105,10 Things I Hate About You (1999)
2303,2573,76,Tango (1998)
2304,2574,149,"Out-of-Towners, The (1999)"
2305,2575,104,"Dreamlife of Angels, The (Vie rêvée des anges, La) (1998)"
2306,2577,87,Metroland (1997)
2307,2578,94,"Sticky Fingers of Time, The (1997)"
2308,2579,102,Following (1998)
2309,2580,64,Go (1999)
2310,2581,3,Never Been Kissed (1999)
2311,2582,60,Twin Dragons (Shuang long hui) (1992)
2312,2583,51,Cookie's Fortune (1999)
2313,2585,155,"Lovers of the Arctic Circle, The (Los Amantes del Círculo Polar) (1998)"
2314,2586,49,Goodbye Lover (1999)
2315,2587,32,Life (1999)
2316,2589,162,Friends & Lovers (1999)
2317,2590,27,Hideous Kinky (1998)
2318,2593,175,"Monster, The (Mostro, Il) (1994)"
2319,2594,8,Open Your Eyes (Abre los ojos) (1997)
2320,2596,91,SLC Punk! (1998)
2321,2597,22,Lost & Found (1999)
2322,2598,102,Pushing Tin (1999)
2323,2599,165,Election (1999)
2324,2600,3,eXistenZ (1999)
2325,2602,130,Mighty Peking Man (a.k.a. Goliathon) (Xing xing wang) (1977)
2326,2605,147,Entrapment (1999)
2327,2606,55,Idle Hands (1999)
2328,2607,160,Get Real (1998)
2329,2608,42,Heaven (1998)
2330,2609,49,"King of Masks, The (Bian Lian) (1996)"
2331,2610,49,Three Seasons (1999)
2332,2611,184,"Winslow Boy, The (1999)"
2333,2612,164,Mildred Pierce (1945)
2334,2613,185,Night of the Comet (1984)
2335,2614,98,Chopping Mall (a.k.a. Killbots) (1986)
2336,2615,31,My Science Project (1985)
2337,2616,130,Dick Tracy (1990)
2338,2617,57,"Mummy, The (1999)"
2339,2618,88,"Castle, The (1997)"
2340,2620,153,This Is My Father (1998)
2341,2621,196,Xiu Xiu: The Sent-Down Girl (Tian yu) (1998)
2342,2622,65,William Shakespeare's A Midsummer Night's Dream (1999)
2343,2623,188,Trippin' (1999)
2344,2624,99,After Life (Wandafuru raifu) (1998)
2345,2625,23,Black Mask (Hak hap) (1996)
2346,2626,71,Edge of Seventeen (1998)
2347,2627,50,Endurance (1999)
2348,2628,50,Star Wars: Episode I - The Phantom Menace (1999)
2349,2629,68,"Love Letter, The (1999)"
2350,2630,32,Besieged (a.k.a. L' Assedio) (1998)
2351,2632,137,"Saragossa Manuscript, The (Rekopis znaleziony w Saragossie) (1965)"
2352,2633,145,"Mummy, The (1932)"
2353,2634,59,"Mummy, The (1959)"
2354,2635,184,"Mummy's Curse, The (1944)"
2355,2636,96,"Mummy's Ghost, The (1944)"
2356,2637,180,"Mummy's Hand, The (1940)"
2357,2638,82,"Mummy's Tomb, The (1942)"
2358,2639,5,Mommie Dearest (1981)
2359,2640,107,Superman (1978)
2360,2641,107,Superman II (1980)
2361,2642,107,Superman III (1983)
2362,2643,66,Superman IV: The Quest for Peace (1987)
2363,2644,6,Dracula (1931)
2364,2646,193,House of Dracula (1945)
2365,2647,27,House of Frankenstein (1944)
2366,2648,0,Frankenstein (1931)
2367,2649,13,Son of Frankenstein (1939)
2368,2650,3,"Ghost of Frankenstein, The (1942)"
2369,2651,115,Frankenstein Meets the Wolf Man (1943)
2370,2652,13,"Curse of Frankenstein, The (1957)"
2371,2653,108,Son of Dracula (1943)
2372,2654,108,"Wolf Man, The (1941)"
2373,2655,9,Howling II: Your Sister Is a Werewolf (1985)
2374,2656,50,Tarantula (1955)
2375,2657,88,"Rocky Horror Picture Show, The (1975)"
2376,2659,162,It Came from Hollywood (1982)
2377,2660,190,"Thing from Another World, The (1951)"
2378,2661,76,It Came from Outer Space (1953)
2379,2662,51,"War of the Worlds, The (1953)"
2380,2663,59,It Came from Beneath the Sea (1955)
2381,2664,111,Invasion of the Body Snatchers (1956)
2382,2665,93,Earth vs. the Flying Saucers (1956)
2383,2666,77,It Conquered the World (1956)
2384,2667,38,"Mole People, The (1956)"
2385,2668,11,Swamp Thing (1982)
2386,2669,41,Pork Chop Hill (1959)
2387,2670,71,Run Silent Run Deep (1958)
2388,2671,95,Notting Hill (1999)
2389,2672,139,"Thirteenth Floor, The (1999)"
2390,2673,71,Eternity and a Day (Mia aoniotita kai mia mera) (1998)
2391,2674,63,"Loss of Sexual Innocence, The (1999)"
2392,2675,33,"Twice Upon a Yesterday (a.k.a. Man with Rain in His Shoes, The) (1998)"
2393,2676,111,Instinct (1999)
2394,2677,134,Buena Vista Social Club (1999)
2395,2678,20,Desert Blue (1998)
2396,2679,86,Finding North (1998)
2397,2681,96,Free Enterprise (1998)
2398,2682,135,Limbo (1999)
2399,2683,188,Austin Powers: The Spy Who Shagged Me (1999)
2400,2685,15,"Red Dwarf, The (Nain rouge, Le) (1998)"
2401,2686,1,"Red Violin, The (Violon rouge, Le) (1998)"
2402,2687,39,Tarzan (1999)
2403,2688,172,"General's Daughter, The (1999)"
2404,2689,108,Get Bruce (1999)
2405,2690,108,"Ideal Husband, An (1999)"
2406,2691,108,"Legend of 1900, The (a.k.a. The Legend of the Pianist on the Ocean) (Leggenda del pianista sull'oceano) (1998)"
2407,2692,33,Run Lola Run (Lola rennt) (1998)
2408,2693,108,Trekkies (1997)
2409,2694,24,Big Daddy (1999)
2410,2695,49,"Boys, The (1998)"
2411,2696,191,"Dinner Game, The (Dîner de cons, Le) (1998)"
2412,2697,66,My Son the Fanatic (1997)
2413,2699,54,Arachnophobia (1990)
2414,2700,187,"South Park: Bigger, Longer and Uncut (1999)"
2415,2701,143,Wild Wild West (1999)
2416,2702,28,Summer of Sam (1999)
2417,2704,171,"Lovers on the Bridge, The (Amants du Pont-Neuf, Les) (1991)"
2418,2705,162,"Late August, Early September (Fin août, début septembre) (1998)"
2419,2706,144,American Pie (1999)
2420,2707,28,Arlington Road (1999)
2421,2708,34,"Autumn Tale, An (Conte d'automne) (1998)"
2422,2709,87,Muppets From Space (1999)
2423,2710,180,"Blair Witch Project, The (1999)"
2424,2711,97,My Life So Far (1999)
2425,2712,160,Eyes Wide Shut (1999)
2426,2713,58,Lake Placid (1999)
2427,2714,29,"Wood, The (1999)"
2428,2715,104,"Velocity of Gary, The (1998)"
2429,2716,49,Ghostbusters (a.k.a. Ghost Busters) (1984)
2430,2717,42,Ghostbusters II (1989)
2431,2718,125,Drop Dead Gorgeous (1999)
2432,2719,125,"Haunting, The (1999)"
2433,2720,135,Inspector Gadget (1999)
2434,2721,107,Trick (1999)
2435,2722,104,Deep Blue Sea (1999)
2436,2723,103,Mystery Men (1999)
2437,2724,49,Runaway Bride (1999)
2438,2725,184,Twin Falls Idaho (1999)
2439,2726,192,"Killing, The (1956)"
2440,2727,164,Killer's Kiss (1955)
2441,2728,157,Spartacus (1960)
2442,2729,117,Lolita (1962)
2443,2730,115,Barry Lyndon (1975)
2444,2731,127,"400 Blows, The (Les quatre cents coups) (1959)"
2445,2732,167,Jules and Jim (Jules et Jim) (1961)
2446,2733,9,Vibes (1988)
2447,2734,50,"Mosquito Coast, The (1986)"
2448,2735,38,"Golden Child, The (1986)"
2449,2736,115,Brighton Beach Memoirs (1986)
2450,2737,165,Assassination (1987)
2451,2738,124,Crimes of the Heart (1986)
2452,2739,153,"Color Purple, The (1985)"
2453,2740,153,"Kindred, The (1986)"
2454,2741,69,No Mercy (1986)
2455,2742,112,Ménage (Tenue de soirée) (1986)
2456,2743,105,Native Son (1986)
2457,2744,113,Otello (1986)
2458,2745,58,"Mission, The (1986)"
2459,2746,199,Little Shop of Horrors (1986)
2460,2747,76,"Little Shop of Horrors, The (1960)"
2461,2748,2,Allan Quatermain and the Lost City of Gold (1987)
2462,2749,115,"Morning After, The (1986)"
2463,2750,123,Radio Days (1987)
2464,2751,101,From the Hip (1987)
2465,2752,129,Outrageous Fortune (1987)
2466,2753,162,"Bedroom Window, The (1987)"
2467,2754,183,Deadtime Stories (1987)
2468,2755,81,Light of Day (1987)
2469,2756,90,Wanted: Dead or Alive (1987)
2470,2757,193,Frances (1982)
2471,2758,35,Plenty (1985)
2472,2759,67,Dick (1999)
2473,2760,67,"Gambler, The (Játékos, A) (1997)"
2474,2761,123,"Iron Giant, The (1999)"
2475,2762,95,"Sixth Sense, The (1999)"
2476,2763,144,"Thomas Crown Affair, The (1999)"
2477,2764,156,"Thomas Crown Affair, The (1968)"
2478,2765,155,"Acid House, The (1998)"
2479,2766,149,"Adventures of Sebastian Cole, The (1998)"
2480,2767,94,Illuminata (1998)
2481,2768,57,Stiff Upper Lips (1998)
2482,2769,152,"Yards, The (2000)"
2483,2770,151,Bowfinger (1999)
2484,2771,94,Brokedown Palace (1999)
2485,2772,43,Detroit Rock City (1999)
2486,2773,2,Alice and Martin (Alice et Martin) (1998)
2487,2774,59,Better Than Chocolate (1999)
2488,2775,64,Head On (1998)
2489,2776,108,"Marcello Mastroianni: I Remember Yes, I Remember (Marcello Mastroianni: mi ricordo, sì, io mi ricordo) (1997)"
2490,2777,63,Cobra (1925)
2491,2778,160,Never Talk to Strangers (1995)
2492,2779,195,Heaven Can Wait (1978)
2493,2780,115,"Raven, The (1963)"
2494,2781,38,"Tingler, The (1959)"
2495,2782,180,Pit and the Pendulum (1961)
2496,2783,11,"Tomb of Ligeia, The (1965)"
2497,2784,164,"Masque of the Red Death, The (1964)"
2498,2785,24,Tales of Terror (1962)
2499,2786,151,Haunted Honeymoon (1986)
2500,2787,0,Cat's Eye (1985)
2501,2788,158,Monty Python's And Now for Something Completely Different (1971)
2502,2789,94,Damien: Omen II (1978)
2503,2790,94,"Final Conflict, The (a.k.a. Omen III: The Final Conflict) (1981)"
2504,2791,154,Airplane! (1980)
2505,2792,184,Airplane II: The Sequel (1982)
2506,2793,52,"American Werewolf in Paris, An (1997)"
2507,2794,6,European Vacation (aka National Lampoon's European Vacation) (1985)
2508,2795,69,National Lampoon's Vacation (1983)
2509,2796,51,Funny Farm (1988)
2510,2797,13,Big (1988)
2511,2798,52,Problem Child (1990)
2512,2799,0,Problem Child 2 (1991)
2513,2800,13,Little Nemo: Adventures in Slumberland (1992)
2514,2801,38,Oscar and Lucinda (a.k.a. Oscar & Lucinda) (1997)
2515,2802,80,Tequila Sunrise (1988)
2516,2803,20,"Pelican Brief, The (1993)"
2517,2804,52,"Christmas Story, A (1983)"
2518,2805,156,Mickey Blue Eyes (1999)
2519,2806,89,Teaching Mrs. Tingle (1999)
2520,2807,39,Universal Soldier: The Return (1999)
2521,2808,76,Universal Soldier (1992)
2522,2809,130,Love Stinks (1999)
2523,2810,72,Perfect Blue (1997)
2524,2812,160,In Too Deep (1999)
2525,2813,58,"Source, The (1999)"
2526,2814,30,"Bat, The (1959)"
2527,2815,103,Iron Eagle (1986)
2528,2816,22,Iron Eagle II (1988)
2529,2817,100,Aces: Iron Eagle III (1992)
2530,2818,57,Iron Eagle IV (1995)
2531,2819,130,Three Days of the Condor (3 Days of the Condor) (1975)
2532,2820,156,Hamlet (1964)
2533,2822,147,Medicine Man (1992)
2534,2824,103,On the Ropes (1999)
2535,2825,23,Rosie (1998)
2536,2826,158,"13th Warrior, The (1999)"
2537,2827,13,"Astronaut's Wife, The (1999)"
2538,2828,111,Dudley Do-Right (1999)
2539,2829,20,"Muse, The (1999)"
2540,2830,97,Cabaret Balkan (Bure Baruta) (1998)
2541,2831,29,A Dog of Flanders (1999)
2542,2833,72,Lucie Aubrac (1997)
2543,2834,58,"Very Thought of You, The (1998)"
2544,2835,11,Chill Factor (1999)
2545,2836,157,Outside Providence (1999)
2546,2837,154,Bedrooms & Hallways (1998)
2547,2839,21,West Beirut (West Beyrouth) (1998)
2548,2840,134,Stigmata (1999)
2549,2841,180,Stir of Echoes (1999)
2550,2842,65,Best Laid Plans (1999)
2551,2843,199,"Black Cat, White Cat (Crna macka, beli macor) (1998)"
2552,2844,191,"Minus Man, The (1999)"
2553,2845,176,Whiteboyz (1999)
2554,2846,8,"Adventures of Milo and Otis, The (Koneko monogatari) (1986)"
2555,2847,64,Only Angels Have Wings (1939)
2556,2848,178,"Othello (Tragedy of Othello: The Moor of Venice, The) (1952)"
2557,2849,181,Queens Logic (1991)
2558,2850,57,Public Access (1993)
2559,2851,185,Saturn 3 (1980)
2560,2852,68,"Soldier's Story, A (1984)"
2561,2853,168,"Alice, Sweet Alice (a.k.a. Communion) (a.k.a. Holy Terror) (1976)"
2562,2854,153,Don't Look in the Basement! (1973)
2563,2855,63,Nightmares (1983)
2564,2856,181,I Saw What You Did (1965)
2565,2857,128,Yellow Submarine (1968)
2566,2858,184,American Beauty (1999)
2567,2859,9,Stop Making Sense (1984)
2568,2860,76,Blue Streak (1999)
2569,2861,11,For Love of the Game (1999)
2570,2862,176,Caligula (1979)
2571,2863,129,"Hard Day's Night, A (1964)"
2572,2864,14,Splendor (1999)
2573,2865,128,Sugar Town (1999)
2574,2866,197,"Buddy Holly Story, The (1978)"
2575,2867,153,Fright Night (1985)
2576,2868,181,Fright Night Part II (1988)
2577,2869,43,"Separation, The (Séparation, La) (1994)"
2578,2870,191,Barefoot in the Park (1967)
2579,2871,100,Deliverance (1972)
2580,2872,156,Excalibur (1981)
2581,2873,96,Lulu on the Bridge (1998)
2582,2874,116,"Pajama Game, The (1957)"
2583,2875,37,Sommersby (1993)
2584,2876,180,Thumbelina (1994)
2585,2877,0,Tommy (1975)
2586,2878,144,Hell Night (1981)
2587,2879,192,Armour of God II: Operation Condor (Operation Condor) (Fei ying gai wak) (1991)
2588,2880,26,Armour of God (Long xiong hu di) (1987)
2589,2881,193,Double Jeopardy (1999)
2590,2882,125,Jakob the Liar (1999)
2591,2883,180,Mumford (1999)
2592,2884,93,Dog Park (1998)
2593,2885,6,Guinevere (1999)
2594,2886,128,"Adventures of Elmo in Grouchland, The (1999)"
2595,2887,186,Simon Sez (1999)
2596,2888,29,Drive Me Crazy (1999)
2597,2889,139,"Mystery, Alaska (1999)"
2598,2890,98,Three Kings (1999)
2599,2891,99,"Happy, Texas (1999)"
2600,2892,80,New Rose Hotel (1998)
2601,2893,56,Plunkett & MaCleane (1999)
2602,2894,27,Romance (1999)
2603,2896,84,Alvarez Kelly (1966)
2604,2897,184,And the Ship Sails On (E la nave va) (1983)
2605,2898,134,"Dark Half, The (1993)"
2606,2899,69,Gulliver's Travels (1939)
2607,2900,16,Monkey Shines (1988)
2608,2901,184,Phantasm (1979)
2609,2902,16,Psycho II (1983)
2610,2903,82,Psycho III (1986)
2611,2904,171,Rain (1932)
2612,2905,128,Sanjuro (Tsubaki Sanjûrô) (1962)
2613,2906,68,Random Hearts (1999)
2614,2907,147,Superstar (1999)
2615,2908,62,Boys Don't Cry (1999)
2616,2910,54,"Ennui, L' (1998)"
2617,2911,24,"Grandfather, The (Abuelo, El) (1998)"
2618,2912,97,"Limey, The (1999)"
2619,2913,36,The Mating Habits of the Earthbound Human (1999)
2620,2914,94,Molly (1999)
2621,2915,122,Risky Business (1983)
2622,2916,31,Total Recall (1990)
2623,2917,36,Body Heat (1981)
2624,2918,143,Ferris Bueller's Day Off (1986)
2625,2919,162,"Year of Living Dangerously, The (1982)"
2626,2920,197,Children of Paradise (Les enfants du paradis) (1945)
2627,2921,11,High Plains Drifter (1973)
2628,2922,154,Hang 'Em High (1968)
2629,2923,115,Handle with Care (a.k.a. Citizen's Band) (1977)
2630,2924,14,Drunken Master (Jui kuen) (1978)
2631,2925,191,"Conformist, The (Conformista, Il) (1970)"
2632,2926,169,Hairspray (1988)
2633,2927,51,Brief Encounter (1946)
2634,2928,54,"Razor's Edge, The (1984)"
2635,2929,27,Reds (1981)
2636,2930,100,Return with Honor (1998)
2637,2931,112,Time of the Gypsies (Dom za vesanje) (1989)
2638,2932,62,Days of Heaven (1978)
2639,2933,165,"Fire Within, The (Feu follet, Le) (1963)"
2640,2935,170,"Lady Eve, The (1941)"
2641,2936,134,Sullivan's Travels (1941)
2642,2937,152,"Palm Beach Story, The (1942)"
2643,2938,124,Man Facing Southeast (1986)
2644,2939,27,Niagara (1953)
2645,2940,86,Gilda (1946)
2646,2941,52,South Pacific (1958)
2647,2942,53,Flashdance (1983)
2648,2943,49,Indochine (1992)
2649,2944,162,"Dirty Dozen, The (1967)"
2650,2945,163,Mike's Murder (1984)
2651,2946,54,Help! (1965)
2652,2947,28,Goldfinger (1964)
2653,2948,105,From Russia with Love (1963)
2654,2949,97,Dr. No (1962)
2655,2950,74,"Blue Lagoon, The (1980)"
2656,2951,147,"Fistful of Dollars, A (Per un pugno di dollari) (1964)"
