,0
1719,"Honey, I Shrunk the Kids (1989)"
1720,Transformers: The Movie (1986)
1721,X-Men: The Last Stand (2006)
1722,Bedazzled (1967)
1723,Creature Comforts (1989)
1724,Romeo and Juliet (1968)
1725,"Virgin Suicides, The (1999)"
1726,Bamboozled (2000)
1727,Serendipity (2001)
1728,"Dangerous Lives of Altar Boys, The (2002)"
1729,Real Women Have Curves (2002)
1730,Thirteen (2003)
1731,Saved! (2004)
1732,"Squid and the Whale, The (2005)"
1733,"Chronicles of Narnia: The Lion, the Witch and the Wardrobe, The (2005)"
1734,Showgirls (1995)
1735,Species (1995)
1736,Devil in a Blue Dress (1995)
1737,Maverick (1994)
1738,"Phantom, The (1996)"
1739,Gaslight (1944)
1740,Meet Me in St. Louis (1944)
1741,Laura (1944)
1742,"Ghost and Mrs. Muir, The (1947)"
1743,Giant (1956)
1744,"Christmas Carol, A (1938)"
1745,Hamlet (1996)
1746,"Horse Whisperer, The (1998)"
1747,Hope Floats (1998)
1748,Armageddon (1998)
1749,Going My Way (1944)
1750,"Lost Weekend, The (1945)"
1751,Gentleman's Agreement (1947)
1752,"Other Sister, The (1999)"
1753,Night Shift (1982)
1754,Heaven Can Wait (1978)
1755,For Love of the Game (1999)
1756,Holiday Inn (1942)
1757,Jagged Edge (1985)
1758,Howards End (1992)
1759,Splendor in the Grass (1961)
1760,Heart and Souls (1993)
1761,Return to Me (2000)
1762,White Christmas (1954)
1763,Space Cowboys (2000)
1764,"Cry, the Beloved Country (1995)"
1765,Nine Months (1995)
1766,"Celluloid Closet, The (1995)"
1767,Jane Eyre (1996)
1768,Moll Flanders (1996)
1769,Microcosmos (Microcosmos: Le peuple de l'herbe) (1996)
1770,"Garden of the Finzi-Continis, The (Giardino dei Finzi-Contini, Il) (1970)"
1771,Swing Kids (1993)
1772,Tommy (1975)
1773,Rabbit-Proof Fence (2002)
1774,Forgetting Sarah Marshall (2008)
1775,Roots (1977)
1776,Munich (2005)
1777,"Silences of the Palace, The (Saimt el Qusur) (1994)"
1778,Kids (1995)
1779,Before Sunrise (1995)
1780,Three Colors: White (Trzy kolory: Bialy) (1994)
1781,Swimming with Sharks (1995)
1782,To Live (Huozhe) (1994)
1783,Farewell My Concubine (Ba wang bie ji) (1993)
1784,Nothing to Lose (1994)
1785,"People vs. Larry Flynt, The (1996)"
1786,Tie Me Up! Tie Me Down! (¡Átame!) (1990)
1787,"Big Blue, The (Grand bleu, Le) (1988)"
1788,"Grand Day Out with Wallace and Gromit, A (1989)"
1789,Miller's Crossing (1990)
1790,Heathers (1989)
1791,Pink Floyd: The Wall (1982)
1792,"American Werewolf in London, An (1981)"
1793,Boogie Nights (1997)
1794,"Butcher Boy, The (1997)"
1795,My Life in Pink (Ma vie en rose) (1997)
1796,Buffalo '66 (a.k.a. Buffalo 66) (1998)
1797,Mutiny on the Bounty (1935)
1798,Repo Man (1984)
1799,Blue Velvet (1986)
1800,"Slums of Beverly Hills, The (1998)"
1801,Rosemary's Baby (1968)
1802,Blade (1998)
1803,Clay Pigeons (1998)
1804,My Cousin Vinny (1992)
1805,Slam (1998)
1806,"Fly, The (1986)"
1807,"Name of the Rose, The (Name der Rose, Der) (1986)"
1808,"Monster, The (Mostro, Il) (1994)"
1809,My Son the Fanatic (1997)
1810,West Beirut (West Beyrouth) (1998)
1811,Goldfinger (1964)
1812,Red Sorghum (Hong gao liang) (1987)
1813,Drugstore Cowboy (1989)
1814,Trading Places (1983)
1815,Midnight Run (1988)
1816,Hard-Boiled (Lat sau san taam) (1992)
1817,Man Bites Dog (C'est arrivé près de chez vous) (1992)
1818,Dog Day Afternoon (1975)
1819,JFK (1991)
1820,Jacob's Ladder (1990)
1821,"Road Warrior, The (Mad Max 2) (1981)"
1822,"Me, Myself & Irene (2000)"
1823,Croupier (1998)
1824,"Tao of Steve, The (2000)"
1825,Charlie's Angels (2000)
1826,Talk Radio (1988)
1827,"Mexican, The (2001)"
1828,"Adventures of Baron Munchausen, The (1988)"
1829,Lean on Me (1989)
1830,Rush Hour 2 (2001)
1831,Rat Race (2001)
1832,Spy Game (2001)
1833,Pumpkin (2002)
1834,Igby Goes Down (2002)
1835,"Ring, The (2002)"
1836,8 Mile (2002)
1837,"Life of David Gale, The (2003)"
1838,Old School (2003)
1839,Better Luck Tomorrow (2002)
1840,"Winged Migration (Peuple migrateur, Le) (2001)"
1841,"Andromeda Strain, The (1971)"
1842,"Dancer Upstairs, The (2002)"
1843,Belle époque (1992)
1844,Dirty Pretty Things (2002)
1845,"Mouse That Roared, The (1959)"
1846,Buffalo Soldiers (2001)
1847,Bubba Ho-tep (2002)
1848,Boyz N the Hood (1991)
1849,Monty Python's The Meaning of Life (1983)
1850,Bad Santa (2003)
1851,Presumed Innocent (1990)
1852,Quick Change (1990)
1853,"Witches of Eastwick, The (1987)"
1854,Birdman of Alcatraz (1962)
1855,"Shot in the Dark, A (1964)"
1856,"Passage to India, A (1984)"
1857,"Fog of War: Eleven Lessons from the Life of Robert S. McNamara, The (2003)"
1858,Monster (2003)
1859,Starsky & Hutch (2004)
1860,Chaplin (1992)
1861,"I, Robot (2004)"
1862,Control Room (2004)
1863,Open Water (2003)
1864,Original Sin (2001)
1865,"Passion of the Christ, The (2004)"
1866,Troy (2004)
1867,Step Up (2006)
1868,Letters to Juliet (2010)
1869,One Day (2011)
1870,Father of the Bride Part II (1995)
1871,Widows' Peak (1994)
1872,Evil Dead II (Dead by Dawn) (1987)
1873,Mad Max Beyond Thunderdome (1985)
1874,"Evil Dead, The (1981)"
1875,A.I. Artificial Intelligence (2001)
1876,Mulholland Drive (2001)
1877,Dirty Harry (1971)
1878,Scanners (1981)
1879,Solaris (2002)
1880,"Matrix Revolutions, The (2003)"
1881,"Holy Mountain, The (Montaña sagrada, La) (1973)"
1882,Werckmeister Harmonies (Werckmeister harmóniák) (2000)
1883,Zodiac (2007)
1884,Changeling (2008)
1885,"Curious Case of Benjamin Button, The (2008)"
1886,"Tree of Life, The (2011)"
1887,"Descendants, The (2011)"
1888,Nebraska (2013)
1889,Rabbits (2002)
1890,The Shape of Water (2017)
1891,My Best Friend's Wedding (1997)
1892,Simon Birch (1998)
1893,Ruthless People (1986)
1894,Parenthood (1989)
1895,"Prince of Tides, The (1991)"
1896,Keeping the Faith (2000)
1897,Steel Magnolias (1989)
1898,Welcome to the Dollhouse (1995)
1899,Shall We Dance? (Shall We Dansu?) (1996)
1900,Carrington (1995)
1901,Beauty of the Day (Belle de jour) (1967)
1902,Death and the Maiden (1994)
1903,Eat Drink Man Woman (Yin shi nan nu) (1994)
1904,Mary Shelley's Frankenstein (Frankenstein) (1994)
1905,Priest (1994)
1906,"Grey, The (2012)"
1907,Twin Peaks (1989)
1908,Nell (1994)
1909,"Specialist, The (1994)"
1910,"Adventures of Robin Hood, The (1938)"
1911,Center Stage (2000)
1912,Sweet Home Alabama (2002)
1913,Far and Away (1992)
1914,No Way Out (1987)
1915,"Officer and a Gentleman, An (1982)"
1916,Sympathy for Mr. Vengeance (Boksuneun naui geot) (2002)
1917,Memories of Murder (Salinui chueok) (2003)
1918,Lady Vengeance (Sympathy for Lady Vengeance) (Chinjeolhan geumjassi) (2005)
1919,Forget Paris (1995)
1920,Balto (1995)
1921,Bulletproof (1996)
1922,Homeward Bound: The Incredible Journey (1993)
1923,Alice in Wonderland (1951)
1924,Event Horizon (1997)
1925,187 (One Eight Seven) (1997)
1926,Sphere (1998)
1927,U.S. Marshals (1998)
1928,Suicide Kings (1997)
1929,Almost Heroes (1998)
1930,1984 (Nineteen Eighty-Four) (1984)
1931,Cube (1997)
1932,History of the World: Part I (1981)
1933,End of Days (1999)
1934,Encino Man (1992)
1935,Bad Lieutenant (1992)
1936,Red Dawn (1984)
1937,"Cell, The (2000)"
1938,Save the Last Dance (2001)
1939,Eddie Murphy Raw (1987)
1940,Bully (2001)
1941,More (1998)
1942,Behind Enemy Lines (2001)
1943,"Majestic, The (2001)"
1944,Changing Lanes (2002)
1945,Insomnia (2002)
1946,K-19: The Widowmaker (2002)
1947,"Recruit, The (2003)"
1948,Phone Booth (2002)
1949,School of Rock (2003)
1950,In My Skin (Dans ma Peau) (2002)
1951,Enemy Mine (1985)
1952,"Bang, Bang, You're Dead (2002)"
1953,Cypher (2002)
1954,"Terminal, The (2004)"
1955,"Manchurian Candidate, The (2004)"
1956,Harold and Kumar Go to White Castle (2004)
1957,Primer (2004)
1958,The Machinist (2004)
1959,Eddie Murphy Delirious (1983)
1960,Spiral (2000)
1961,What the #$*! Do We Know!? (a.k.a. What the Bleep Do We Know!?) (2004)
1962,Unleashed (Danny the Dog) (2005)
1963,"God Who Wasn't There, The (2005)"
1964,Lord of War (2005)
1965,Final Fantasy VII: Advent Children (2004)
1966,MirrorMask (2005)
1967,Hostel (2005)
1968,Grandma's Boy (2006)
1969,"Ordeal, The (Calvaire) (2004)"
1970,"Comedians of Comedy, The (2005)"
1971,Hard Candy (2005)
1972,Silent Hill (2006)
1973,"Omen, The (2006)"
1974,Metal: A Headbanger's Journey (2005)
1975,"Road to Guantanamo, The (2006)"
1976,Edmond (2005)
1977,Jesus Camp (2006)
1978,Antibodies (Antikörper) (2005)
1979,Perfume: The Story of a Murderer (2006)
1980,Fuck (2005)
1981,"Last Mimzy, The (2007)"
1982,"Host, The (Gwoemul) (2006)"
1983,Right at Your Door (2006)
1984,Shooter (2007)
1985,Sunshine (2007)
1986,Mr. Brooks (2007)
1987,Cashback (2006)
1988,Paranoid Park (2007)
1989,Sicko (2007)
1990,1408 (2007)
1991,"Invasion, The (2007)"
1992,Halloween (2007)
1993,"Nines, The (2007)"
1994,"Ten, The (2007)"
1995,Requiem (2006)
1996,"Hunting Party, The (2007)"
1997,Rendition (2007)
1998,Wristcutters: A Love Story (2006)
1999,National Treasure: Book of Secrets (2007)
2000,"Air I Breathe, The (2007)"
2001,Run Fatboy Run (2007)
2002,Zeitgeist: The Movie (2007)
2003,Super High Me (2007)
2004,Deception (2008)
2005,"American Crime, An (2007)"
2006,a/k/a Tommy Chong (2005)
2007,Breath (Soom) (2007)
2008,Just Another Love Story (Kærlighed på film) (2007)
2009,Felon (2008)
2010,Traitor (2008)
2011,Bangkok Dangerous (2008)
2012,Righteous Kill (2008)
2013,City of Ember (2008)
2014,Max Payne (2008)
2015,"Wave, The (Welle, Die) (2008)"
2016,Blindness (2008)
2017,Sex Drive (2008)
2018,Valkyrie (2008)
2019,Choke (2008)
2020,Zeitgeist: Addendum (2008)
2021,Ip Man (2008)
2022,"Timecrimes (Cronocrímenes, Los) (2007)"
2023,Eden Lake (2008)
2024,Push (2009)
2025,"International, The (2009)"
2026,Crips and Bloods: Made in America (2008)
2027,Observe and Report (2009)
2028,Pirate Radio (2009)
2029,State of Play (2009)
2030,X-Men Origins: Wolverine (2009)
2031,Angels & Demons (2009)
2032,Fanboys (2009)
2033,Polytechnique (2009)
2034,Cold Souls (2009)
2035,"Time Traveler's Wife, The (2009)"
2036,Taking Woodstock (2009)
2037,Frequently Asked Questions About Time Travel (2009)
2038,"Most Hated Family in America, The (2007)"
2039,Capitalism: A Love Story (2009)
2040,Metropia (2009)
2041,Zombieland (2009)
2042,Law Abiding Citizen (2009)
2043,Afterschool (2008)
2044,"Boondock Saints II: All Saints Day, The (2009)"
2045,"Film with Me in It, A (2008)"
2046,"Lovely Bones, The (2009)"
2047,Looking for Eric (2009)
2048,Pontypool (2008)
2049,"Girl Who Kicked the Hornet's Nest, The (Luftslottet som sprängdes) (2009)"
2050,Collapse (2009)
2051,Triangle (2009)
2052,"Girl Who Played with Fire, The (Flickan som lekte med elden) (2009)"
2053,I Hope They Serve Beer in Hell (2009)
2054,"Yes Men Fix the World, The (2009)"
2055,Fermat's Room (La habitación de Fermat) (2007)
2056,Alice in Wonderland (2010)
2057,Green Zone (2010)
2058,Harry Brown (2009)
2059,Hot Tub Time Machine (2010)
2060,"Losers, The (2010)"
2061,Cargo (2009)
2062,Four Lions (2010)
2063,Robin Hood (2010)
2064,Unthinkable (2010)
2065,Exam (2009)
2066,Mr. Nobody (2009)
2067,Ip Man 2 (2010)
2068,"Other Guys, The (2010)"
2069,Centurion (2010)
2070,Let Me In (2010)
2071,Red (2010)
2072,Due Date (2010)
2073,"Loved Ones, The (2009)"
2074,"Green Hornet, The (2011)"
2075,Dog Pound (2010)
2076,"Adjustment Bureau, The (2011)"
2077,"Eagle, The (2011)"
2078,"Sunset Limited, The (2011)"
2079,Louis C.K.: Shameless (2007)
2080,Attack the Block (2011)
2081,Kung Fu Panda 2 (2011)
2082,Griff the Invisible (2011)
2083,Red State (2011)
2084,Straw Dogs (2011)
2085,50/50 (2011)
2086,Martha Marcy May Marlene (2011)
2087,We Need to Talk About Kevin (2011)
2088,I Want to Be a Soldier (2011)
2089,The Hunger Games (2012)
2090,I Melt with You (2011)
2091,"Revenant, The (2009)"
2092,Grave Encounters (2011)
2093,Chronicle (2012)
2094,God Bless America (2011)
2095,"Raven, The (2012)"
2096,Citizen Gangster (2011) 
2097,"Pirates! Band of Misfits, The (2012)"
2098,"Amazing Spider-Man, The (2012)"
2099,"Watch, The (2012)"
2100,Ruby Sparks (2012)
2101,Total Recall (2012)
2102,"Campaign, The (2012)"
2103,Sleepwalk with Me (2012)
2104,Robot & Frank (2012)
2105,V/H/S (2012)
2106,Sinister (2012)
2107,Wreck-It Ralph (2012)
2108,"Bay, The (2012)"
2109,Citadel (2012)
2110,John Dies at the End (2012)
2111,Gangster Squad (2013)
2112,Broken City (2013)
2113,TPB AFK: The Pirate Bay Away from Keyboard (2013)
2114,"Brass Teapot, The (2012)"
2115,Disconnect (2012)
2116,"Afflicted, The (2010)"
2117,Elysium (2013)
2118,American Mary (2012)
2119,"Conjuring, The (2013)"
2120,Carrie (2013)
2121,The Hunger Games: Catching Fire (2013)
2122,"Hobbit: The Desolation of Smaug, The (2013)"
2123,Black Mirror
2124,Vertical Limit (2000)
2125,Kiss of the Dragon (2001)
2126,Blade II (2002)
2127,Richard III (1995)
2128,"Age of Innocence, The (1993)"
2129,Orlando (1992)
2130,My Favorite Year (1982)
2131,Gigi (1958)
2132,My Left Foot (1989)
2133,"Mrs. Brown (a.k.a. Her Majesty, Mrs. Brown) (1997)"
2134,Oliver! (1968)
2135,Dangerous Liaisons (1988)
2136,Velvet Goldmine (1998)
2137,Wilde (1997)
2138,"Deep End of the Ocean, The (1999)"
2139,"Filth and the Fury, The (2000)"
2140,Guys and Dolls (1955)
2141,Hope and Glory (1987)
2142,Gosford Park (2001)
2143,Gallipoli (1981)
2144,Kiss of the Spider Woman (1985)
2145,Rivers and Tides (2001)
2146,Boys Life (1995)
2147,Cyrano de Bergerac (1990)
2148,Dracula (Bram Stoker's Dracula) (1992)
2149,"Joy Luck Club, The (1993)"
2150,"Opposite of Sex, The (1998)"
2151,Beloved (1998)
2152,Indochine (1992)
2153,"Messenger: The Story of Joan of Arc, The (1999)"
2154,Terminator Salvation (2009)
2155,"Expendables, The (2010)"
2156,Friends with Benefits (2011)
2157,Mission: Impossible - Ghost Protocol (2011)
2158,Koyaanisqatsi (a.k.a. Koyaanisqatsi: Life Out of Balance) (1983)
2159,Diner (1982)
2160,"Quiet American, The (2002)"
2161,The Raid: Redemption (2011)
2162,Seven Psychopaths (2012)
2163,American Hustle (2013)
2164,The Nice Guys (2016)
2165,Legend of the Demon Cat (2017)
2166,Chasing Amy (1997)
2167,Wonder Boys (2000)
2168,Dogtown and Z-Boyz (2001)
2169,Narc (2002)
2170,American Splendor (2003)
2171,Gimme Shelter (1970)
2172,Murderball (2005)
2173,"History of Violence, A (2005)"
2174,Pinocchio (1940)
2175,Cinderella (1950)
2176,Sudden Death (1995)
2177,Dracula: Dead and Loving It (1995)
2178,Eye for an Eye (1996)
2179,Dragonheart (1996)
2180,Eddie (1996)
2181,Multiplicity (1996)
2182,Striptease (1996)
2183,"Fan, The (1996)"
2184,Kingpin (1996)
2185,High School High (1996)
2186,Escape from L.A. (1996)
2187,First Kid (1996)
2188,Waterworld (1995)
2189,"Jerky Boys, The (1995)"
2190,Major Payne (1995)
2191,Beverly Hills Cop III (1994)
2192,Hot Shots! Part Deux (1993)
2193,Son in Law (1993)
2194,Terminal Velocity (1994)
2195,Candyman: Farewell to the Flesh (1995)
2196,Thirty-Two Short Films About Glenn Gould (1993)
2197,"Grifters, The (1990)"
2198,"Daytrippers, The (1996)"
2199,"Ice Storm, The (1997)"
2200,Tampopo (1985)
2201,House of Games (1987)
2202,Johnny Mnemonic (1995)
2203,Barry Lyndon (1975)
2204,Inglorious Bastards (Quel maledetto treno blindato) (1978)
2205,To Die For (1995)
2206,Identity (2003)
2207,Saw (2004)
2208,Redbelt (2008)
2209,Taken (2008)
2210,Red (2008)
2211,Gravity (2013)
2212,Spy (2015)
2213,Sicario (1994)
2214,Mrs. Parker and the Vicious Circle (1994)
2215,Grumpy Old Men (1993)
2216,Iris (2001)
2217,Amy's O (a.k.a. Amy's Orgasm) (2001)
2218,Henry & June (1990)
2219,Grey Gardens (1975)
2220,Sex and the City 2 (2010)
2221,What's Your Number? (2011)
2222,Wild (2014)
2223,A Walk in the Woods (2015)
2224,The Hunger Games: Mockingjay - Part 2 (2015)
2225,Spirit of the Marathon (2008)
2226,Running the Sahara (2009)
2227,Moneyball (2011)
2228,"13th Warrior, The (1999)"
2229,Purple Noon (Plein soleil) (1960)
2230,"Gay Divorcee, The (1934)"
2231,Jean de Florette (1986)
2232,Manon of the Spring (Manon des sources) (1986)
2233,Somewhere in Time (1980)
2234,My Own Private Idaho (1991)
2235,Hamlet (1948)
2236,"Last Emperor, The (1987)"
2237,Shadow of a Doubt (1943)
2238,Hamlet (1964)
2239,Sydney (Hard Eight) (1996)
2240,Five Easy Pieces (1970)
2241,Inherit the Wind (1960)
2242,Love's Labour's Lost (2000)
2243,Lord of the Flies (1990)
2244,For a Lost Soldier (Voor een Verloren Soldaat) (1992)
2245,Top Secret! (1984)
2246,"Macbeth (a.k.a. Tragedy of Macbeth, The) (1971)"
2247,"Dreamers, The (2003)"
2248,"Caine Mutiny, The (1954)"
2249,Wings of Courage (1995)
2250,Across the Sea of Time (1995)
2251,Everest (1998)
2252,Yellow Submarine (1968)
2253,Fantasia 2000 (1999)
2254,The Man in the Moon (1991)
2255,Michael Jordan to the Max (2000)
2256,Africa: The Serengeti (1994)
2257,"Endurance: Shackleton's Legendary Antarctic Expedition, The (2000)"
2258,Stakeout (1987)
2259,My Family (1995)
2260,Nobody's Fool (1994)
2261,Twelfth Night (1996)
2262,In the Bedroom (2001)
2263,Monster's Ball (2001)
2264,Brainstorm (1983)
2265,One Hour Photo (2002)
2266,Simone (S1m0ne) (2002)
2267,WarGames (1983)
2268,"Queen Margot (Reine Margot, La) (1994)"
2269,"Ninth Gate, The (1999)"
2270,Midnight Express (1978)
2271,Mississippi Burning (1988)
2272,Zulu (1964)
2273,Murder on a Sunday Morning (Un coupable idéal) (2001)
2274,Shattered Glass (2003)
2275,Master and Commander: The Far Side of the World (2003)
2276,Winter War (Talvisota) (1989)
2277,"Battle of Algiers, The (La battaglia di Algeri) (1966)"
2278,"Aviator, The (2004)"
2279,Father of the Bride (1950)
2280,Mr. Deeds (2002)
2281,Men in Black II (a.k.a. MIIB) (a.k.a. MIB 2) (2002)
2282,Signs (2002)
2283,Ocean's Twelve (2004)
2284,Transformers (2007)
2285,I Am Legend (2007)
2286,Mystic Pizza (1988)
2287,Cellular (2004)
2288,P2 (2007)
2289,Snow White and the Huntsman (2012)
2290,Chained (2012)
2291,Twisted Seduction (2010)
2292,"Secret Garden, The (1993)"
2293,Harry Potter and the Order of the Phoenix (2007)
2294,Louis C.K.: Chewed Up (2008)
2295,Spy Kids (2001)
2296,"Brave One, The (2007)"
2297,Hancock (2008)
2298,Surrogates (2009)
2299,Phish: Bittersweet Motel (2000)
2300,"Mighty Wind, A (2003)"
2301,Blood Diamond (2006)
2302,Gone Baby Gone (2007)
2303,Role Models (2008)
2304,"Lincoln Lawyer, The (2011)"
2305,Midnight in Paris (2011)
2306,"Crazy, Stupid, Love. (2011)"
2307,Warrior (2011)
2308,Dawn of the Dead (1978)
2309,Exotica (1994)
2310,Red Rock West (1992)
2311,"Secret Adventures of Tom Thumb, The (1993)"
2312,eXistenZ (1999)
2313,Angel Heart (1987)
2314,Star Wars: Episode II - Attack of the Clones (2002)
2315,Total Eclipse (1995)
2316,"Fast and the Furious, The (2001)"
2317,Chicago (2002)
2318,Jennifer's Body (2009)
2319,"Heat, The (2013)"
2320,Furious 7 (2015)
2321,Get Out (2017)
2322,The Fate of the Furious (2017)
2323,War for the Planet of the Apes (2017)
2324,Up Close and Personal (1996)
2325,Powder (1995)
2326,Conspiracy Theory (1997)
2327,"General's Daughter, The (1999)"
2328,Mortal Kombat (1995)
2329,Congo (1995)
2330,Timecop (1994)
2331,"Low Down Dirty Shame, A (1994)"
2332,Jason's Lyric (1994)
2333,"Program, The (1993)"
2334,Set It Off (1996)
2335,Days of Thunder (1990)
2336,Alien³ (a.k.a. Alien 3) (1992)
2337,Cape Fear (1962)
2338,"Nightmare on Elm Street, A (1984)"
2339,Marked for Death (1990)
2340,Jaws 2 (1978)
2341,Jaws 3-D (1983)
2342,Metro (1997)
2343,Anaconda (1997)
2344,Batman & Robin (1997)
2345,Hoodlum (1997)
2346,Money Talks (1997)
2347,I Know What You Did Last Summer (1997)
2348,Mortal Kombat: Annihilation (1997)
2349,"Replacement Killers, The (1998)"
2350,King of New York (1990)
2351,"Newton Boys, The (1998)"
2352,The Players Club (1998)
2353,Deep Impact (1998)
2354,Godzilla (1998)
2355,Small Soldiers (1998)
2356,"Nightmare on Elm Street 2: Freddy's Revenge, A (1985)"
2357,Friday the 13th (1980)
2358,Friday the 13th Part 2 (1981)
2359,Child's Play (1988)
2360,Lethal Weapon 3 (1992)
2361,"Poseidon Adventure, The (1972)"
2362,Cujo (1983)
2363,How Stella Got Her Groove Back (1998)
2364,I Still Know What You Did Last Summer (1998)
2365,"Godzilla 1985: The Legend Is Reborn (Gojira) (Godzilla) (Return of Godzilla, The) (1984)"
2366,King Kong (1933)
2367,Rambo: First Blood Part II (1985)
2368,Rocky V (1990)
2369,"Fly, The (1958)"
2370,"Texas Chainsaw Massacre, The (1974)"
2371,Pet Sematary (1989)
2372,"Towering Inferno, The (1974)"
2373,Dick Tracy (1990)
2374,Superman II (1980)
2375,Superman III (1983)
2376,Wild Wild West (1999)
2377,Lake Placid (1999)
2378,Deep Blue Sea (1999)
2379,In Too Deep (1999)
2380,Psycho II (1983)
2381,RoboCop 2 (1990)
2382,Piranha (1978)
2383,Sister Act (1992)
2384,"Bodyguard, The (1992)"
2385,Scream 3 (2000)
2386,Final Destination (2000)
2387,Death Wish (1974)
2388,Death Wish 2 (1982)
2389,Death Wish 3 (1985)
2390,Teenage Mutant Ninja Turtles (1990)
2391,Teenage Mutant Ninja Turtles II: The Secret of the Ooze (1991)
2392,Bloodsport (1988)
2393,Flatliners (1990)
2394,Predator 2 (1990)
2395,"Running Man, The (1987)"
2396,"Old Man and the Sea, The (1958)"
2397,Bicycle Thieves (a.k.a. The Bicycle Thief) (a.k.a. The Bicycle Thieves) (Ladri di biciclette) (1948)
2398,"Italian Job, The (2003)"
2399,Monty Python Live at the Hollywood Bowl (1982)
2400,Sweet Sixteen (2002)
2401,"Night of the Hunter, The (1955)"
2402,"OSS 117: Cairo, Nest of Spies (OSS 117: Le Caire nid d'espions) (2006)"
2403,"4 Months, 3 Weeks and 2 Days (4 luni, 3 saptamâni si 2 zile) (2007)"
2404,99 francs (2007)
2405,OSS 117 - Lost in Rio (OSS 117: Rio ne répond plus) (2009)
2406,I Saw the Devil (Akmareul boatda) (2010)
2407,The Man from Nowhere (2010)
2408,Chef (2014)
2409,Still Alice (2014)
2410,Vacation (2015)
2411,Saw (2003)
2412,Bo Burnham: Make Happy (2016)
2413,Tallulah (2016)
2414,Your Name. (2016)
2415,A Silent Voice (2016)
2416,Personal Shopper (2016)
2417,The Bunker (2015)
2418,About Last Night... (1986)
2419,Indecent Proposal (1993)
2420,Varsity Blues (1999)
2421,Big Daddy (1999)
2422,Birdy (1984)
2423,What Lies Beneath (2000)
2424,Pay It Forward (2000)
2425,"Dude, Where's My Car? (2000)"
2426,"Family Man, The (2000)"
2427,City Slickers (1991)
2428,"Score, The (2001)"
2429,"Bad News Bears, The (1976)"
2430,Legends of the Fall (1994)
2431,101 Dalmatians (One Hundred and One Dalmatians) (1961)
2432,Risky Business (1983)
2433,"Brave Little Toaster, The (1987)"
2434,Taps (1981)
2435,White Fang (1991)
2436,Wait Until Dark (1967)
2437,Paper Moon (1973)
2438,Mask (1985)
2439,Underworld (1996)
2440,"'burbs, The (1989)"
2441,"Pool, The (2007)"
2442,Chop Shop (2007)
2443,Take Me Home (2011)
2444,City of Angels (1998)
2445,Never Been Kissed (1999)
2446,Home Alone 2: Lost in New York (1992)
2447,Angela's Ashes (1999)
2448,Jurassic Park III (2001)
2449,Final Destination 2 (2003)
2450,Brainscan (1994)
2451,Yes Man (2008)
2452,Transformers: Dark of the Moon (2011)
2453,Odd Thomas (2013)
2454,City Hall (1996)
2455,Before and After (1996)
2456,Renaissance Man (1994)
2457,Extreme Measures (1996)
2458,Marvin's Room (1996)
2459,Seven Years in Tibet (1997)
2460,Red Corner (1997)
2461,Patch Adams (1998)
2462,Music of the Heart (1999)
2463,"Hurricane, The (1999)"
2464,Rules of Engagement (2000)
2465,Under Siege 2: Dark Territory (1995)
2466,"Nightmare on Elm Street 3: Dream Warriors, A (1987)"
2467,Desperately Seeking Susan (1985)
2468,"Next Best Thing, The (2000)"
2469,"Elvira, Mistress of the Dark (1988)"
2470,Love & Human Remains (1993)
2471,Splendor (1999)
2472,That's My Boy (2012)
2473,They Came Together (2014)
2474,The Interview (2014)
2475,Get Hard (2015)
2476,Robin Hood: Prince of Thieves (1991)
2477,Practical Magic (1998)
2478,Mickey Blue Eyes (1999)
2479,Universal Soldier (1992)
2480,Planet of the Apes (1968)
2481,"Christmas Carol, A (2009)"
2482,Piranha (Piranha 3D) (2010)
2483,"Troll Hunter, The (Trolljegeren) (2010)"
2484,Underworld: Awakening (2012)
2485,"Lone Ranger, The (2013)"
2486,300: Rise of an Empire (2014)
2487,The Hobbit: The Battle of the Five Armies (2014)
2488,Guardians of the Galaxy 2 (2017)
2489,Star Trek Beyond (2016)
2490,The Angry Birds Movie (2016)
2491,The BFG (2016)
2492,Ice Age: Collision Course (2016)
2493,Rogue One: A Star Wars Story (2016)
2494,Diamonds Are Forever (1971)
2495,Victor/Victoria (1982)
2496,Carrie (1976)
2497,Walkabout (1971)
2498,"Purple Rose of Cairo, The (1985)"
2499,Who's Afraid of Virginia Woolf? (1966)
2500,Frenzy (1972)
2501,Mona Lisa (1986)
2502,Pink Flamingos (1972)
2503,Radio Days (1987)
2504,Stop Making Sense (1984)
2505,Fitzcarraldo (1982)
2506,Arthur (1981)
2507,On the Town (1949)
2508,Prizzi's Honor (1985)
2509,"Two Women (Ciociara, La) (1960)"
2510,Everything You Always Wanted to Know About Sex * But Were Afraid to Ask (1972)
2511,Interiors (1978)
2512,Another Woman (1988)
2513,Obsession (1976)
2514,"Cage aux Folles, La (1978)"
2515,"Simple Twist of Fate, A (1994)"
2516,Michael Collins (1996)
2517,Raise the Red Lantern (Da hong deng long gao gao gua) (1991)
2518,Great Expectations (1998)
2519,"French Lieutenant's Woman, The (1981)"
2520,Sunset Blvd. (a.k.a. Sunset Boulevard) (1950)
2521,"Wings of Desire (Himmel über Berlin, Der) (1987)"
2522,Tom Jones (1963)
2523,Mephisto (1981)
2524,Nashville (1975)
2525,Babe: Pig in the City (1998)
2526,Brief Encounter (1946)
2527,"General, The (1926)"
2528,"Circus, The (1928)"
